"species_scientific"
"Eragrostis pectinacea"
"Eragrostis pilosa"
"Eragrostis tef"
"Ericameria bloomeri"
"Ericameria nauseosa"
"Erigeron canadensis"
"Erigeron foliosus"
"Erigeron philadelphicus"
"Erigeron sumatrensis"
"Eriochloa acuminata"
"Eriodictyon californicum"
"Eriogonum gracile"
"Eriogonum luteolum"
"Eriogonum nudum"
"Eriogonum vimineum"
"Eriogonum wrightii"
"Erioneuron pulchellum"
"Eriophyllum lanatum"
"Erodium botrys"
"Erodium brachycarpum"
"Erodium cicutarium"
"Erodium moschatum"
"Erodium oxyrhinchum"
"Eruca vesicaria"
"Eryngium aristulatum"
"Eryngium articulatum"
"Eryngium castrense"
"Eryngium pinnatisectum"
"Eryngium vaseyi"
"Erythranthe bicolor"
"Erythranthe guttata"
"Erythranthe microphylla"
"Erythrina crista-galli"
"Eschscholzia caespitosa"
"Eschscholzia californica"
"Eschscholzia hypecoides"
"Eschscholzia lobbii"
"Eucalyptus bicolor"
"Eucalyptus globulus"
"Eucalyptus siderophloia"
"Eucalyptus sideroxylon"
"Euonymus japonicus"
"Eupatorium lindleyanum"
"Euphorbia californica"
"Euphorbia crenulata"
"Euphorbia lathyris"
"Euphorbia maculata"
"Euphorbia marginata"
"Euphorbia nutans"
"Euphorbia oblongata"
"Euphorbia ocellata"
"Euphorbia prostrata"
"Euphorbia serpillifolia"
"Euthamia occidentalis"
"Fabronia ciliaris"
"Fagopyrum tataricum"
"Fagus sylvatica"
"Ficus carica"
"Firmiana simplex"
"Fissidens bryoides"
"Fissidens fontanus"
"Foeniculum vulgare"
"Frangula californica"
"Fraxinus latifolia"
"Fremontodendron californicum"
"Fritillaria agrestis"
"Fritillaria micrantha"
"Gaillardia aristata"
"Galinsoga parviflora"
"Galium aparine"
"Galium murale"
"Galium parisiense"
"Galium trifidum"
"Gamochaeta coarctata"
"Gamochaeta ustulata"
"Gastridium phleoides"
"Gaura sinuata"
"Genista spachiana"
"Gentianella amarella"
"Geranium caespitosum"
"Geranium carolinianum"
"Geranium dissectum"
"Geranium molle"
"Gilia achilleifolia"
"Gilia angelensis"
"Gilia capitata"
"Gilia tricolor"
"Ginkgo biloba"
"Githopsis pulchella"
"Githopsis specularioides"
"Gleditsia triacanthos"
"Glinus lotoides"
"Gloriosa superba"
"Glyceria declinata"
"Glycyrrhiza lepidota"
"Gnaphalium palustre"
"Gossypium hirsutum"
"Gratiola ebracteata"
"Gratiola heterosepala"
"Gratiola neglecta"
"Grimmia laevigata"
"Grimmia pulvinata"
"Grimmia serrana"
"Grindelia camporum"
"Grindelia hirsutula"
"Grindelia stricta"
"Guillenia lasiophylla"
"Gutierrezia californica"
"Gynura procumbens"
"Harmonia nutans"
"Helenium bigelovii"
"Helenium puberulum"
"Helianthus annuus"
"Helianthus bolanderi"
"Helianthus californicus"
"Heliotropium curassavicum"
"Heliotropium europaeum"
"Helminthotheca echioides"
"Hemizonia congesta"
"Hemizonia fitchii"
"Hemizonia pungens"
"Hesperevax acaulis"
"Hesperevax caulescens"
"Hesperolinon californicum"
"Heterocodon rariflorum"
"Heteromeles arbutifolia"
"Heterotheca grandiflora"
"Heterotheca oregona"
"Hibiscus lasiocarpos"
"Hibiscus moscheutos"
"Hirschfeldia incana"
"Hoita macrostachya"
"Holcus lanatus"
"Holocarpha obconica"
"Holocarpha virgata"
"Holozonia filipes"
"Hordeum arizonicum"
"Hordeum brachyantherum"
"Hordeum californicum"
"Hordeum depressum"
"Hordeum geniculatum"
"Hordeum jubatum"
"Hordeum marinum"
"Hordeum murinum"
"Hordeum vulgare"
"Horkelia californica"
"Horkelia tridentata"
"Houttuynia cordata"
"Humulus lupulus"
"Hydrocotyle javanica"
"Hydrocotyle ranunculoides"
"Hydrocotyle verticillata"
"Hygrophila balsamica"
"Hypericum androsaemum"
"Hypericum concinnum"
"Hypericum mutilum"
"Hypericum perforatum"
"Hypochaeris glabra"
"Hypochaeris radicata"
"Ibicella lutea"
"Impatiens balsamina"
"Ipomoea eriocarpa"
"Ipomoea purpurea"
"Ipomoea quamoclit"
"Iris douglasiana"
"Iris fernaldii"
"Iris macrosiphon"
"Ischaemum barbatum"
"Isodon eriocalyx"
"Isoetes howellii"
"Isoetes nuttallii"
"Isoetes orcuttii"
"Isolepis cernua"
"Iva axillaris"
"Juglans californica"
"Juglans hindsii"
"Juncus acuminatus"
"Juncus articulatus"
"Juncus balticus"
"Juncus bufonius"
"Juncus capitatus"
"Juncus diffusissimus"
"Juncus effusus"
"Juncus leiospermus"
"Juncus mexicanus"
"Juncus occidentalis"
"Juncus oxymeris"
"Juncus patens"
"Juncus phaeocephalus"
"Juncus tenuis"
"Juncus uncialis"
"Juncus xiphioides"
"Juniperus cedrus"
"Justicia brandegeeana"
"Justicia gendarussa"
"Kalimeris indica"
"Keckiella breviflora"
"Kickxia elatine"
"Kyllinga brevifolia"
"Lachnagrostis filiformis"
"Lactuca sativa"
"Lactuca serriola"
"Lagenaria siceraria"
"Lagophylla dichotoma"
"Lagophylla glandulosa"
"Lagophylla ramosissima"
"Lagurus ovatus"
"Lamium amplexicaule"
"Lapageria rosea"
"Lapsana communis"
"Lasthenia californica"
"Lasthenia fremontii"
"Lasthenia glaberrima"
"Lasthenia glabrata"
"Lasthenia gracilis"
"Lasthenia minor"
"Lasthenia platycarpha"
"Lathyrus angulatus"
"Lathyrus cicera"
"Lathyrus jepsonii"
"Lathyrus latifolius"
"Lathyrus sulphureus"
"Lathyrus vestitus"
"Lavatera cretica"
"Layia chrysanthemoides"
"Layia fremontii"
"Layia pentachaeta"
"Layia platyglossa"
"Leersia oryzoides"
"Legenere limosa"
"Lemna gibba"
"Lemna minor"
"Leontodon saxatilis"
"Leontodon taraxacoides"
"Leonurus sibiricus"
"Lepidium appelianum"
"Lepidium chalepense"
"Lepidium densiflorum"
"Lepidium didymum"
"Lepidium draba"
"Lepidium lasiocarpum"
"Lepidium latifolium"
"Lepidium latipes"
"Lepidium nitidum"
"Lepidium oblongum"
"Lepidium strictum"
"Leptochloa fusca"
"Leptodictyum riparium"
"Leptosiphon bicolor"
"Leptosiphon filipes"
"Lessingia nana"
"Lessingia virgata"
"Leucanthemum vulgare"
"Leymus condensatus"
"Leymus triticoides"
"Lilaea scilloides"
"Lilaeopsis masonii"
"Limnanthes alba"
"Limnanthes douglasii"
"Limnanthes montana"
"Limnanthes striata"
"Limnobium spongia"
"Limosella acaulis"
"Limosella australis"
"Linanthus bellus"
"Linanthus dichotomus"
